Date,Open,High,Low,Close,Volume,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,5-day Moving,10-day Moving
3/21/83,35.88,36.13,35.25,36.00,127700.00,8.97,9.03,8.81,9.00,510800.00,35.00,34.56
3/22/83,34.88,35.88,34.00,34.00,82000.00,8.72,8.97,8.50,8.50,328000.00,35.00,34.56
3/23/83,34.00,35.25,33.88,34.88,106800.00,8.50,8.81,8.47,8.72,427200.00,35.00,34.56
3/24/83,34.88,35.13,34.63,35.13,98300.00,8.72,8.78,8.66,8.78,393200.00,35.00,34.56
3/25/83,35.63,36.25,35.00,35.50,52600.00,8.91,9.06,8.75,8.87,210400.00,35.10,34.56
3/28/83,35.38,36.13,34.63,34.75,123700.00,8.84,9.03,8.66,8.69,494800.00,34.85,34.56
3/29/83,34.38,35.38,33.38,33.75,194500.00,8.59,8.84,8.34,8.44,778000.00,34.80,34.56
3/30/83,34.63,35.25,33.88,35.00,104300.00,8.66,8.81,8.47,8.75,417200.00,34.83,34.56
3/31/83,36.00,38.25,33.25,33.50,160600.00,9.00,9.56,8.31,8.37,642400.00,34.50,34.56
4/4/83,33.00,33.38,32.00,33.13,193000.00,8.25,8.34,8.00,8.28,772000.00,34.03,34.56
4/5/83,33.00,33.88,32.63,32.63,150900.00,8.25,8.47,8.16,8.16,603600.00,33.60,34.23
4/6/83,31.87,32.25,31.25,31.50,255300.00,7.97,8.06,7.81,7.87,1021200.00,33.15,33.98
4/7/83,31.37,31.75,31.00,31.75,221400.00,7.84,7.94,7.75,7.94,885600.00,32.50,33.66
4/8/83,32.13,32.63,31.50,32.63,124800.00,8.03,8.16,7.87,8.16,499200.00,32.33,33.41
4/11/83,33.13,33.88,32.88,33.63,178400.00,8.28,8.47,8.22,8.41,713600.00,32.43,33.23
4/12/83,33.63,34.13,33.50,33.75,179000.00,8.41,8.53,8.37,8.44,716000.00,32.65,33.13
4/13/83,35.38,36.75,34.25,35.88,471500.00,8.84,9.18,8.56,8.97,1886000.00,33.53,33.34
4/14/83,36.13,37.75,36.13,37.75,279200.00,9.03,9.43,9.03,9.43,1116800.00,34.73,33.62
4/15/83,37.75,38.13,37.38,37.63,195900.00,9.43,9.53,9.34,9.40,783600.00,35.73,34.03
4/18/83,37.47,37.88,36.75,37.00,190700.00,9.36,9.47,9.18,9.25,762800.00,36.40,34.42
4/19/83,36.75,37.00,36.00,36.38,87600.00,9.18,9.25,9.00,9.09,350400.00,36.93,34.79
4/20/83,37.50,38.50,36.50,38.50,248000.00,9.37,9.62,9.12,9.62,992000.00,37.45,35.49
4/21/83,38.00,38.88,37.88,37.88,128000.00,9.50,9.72,9.47,9.47,512000.00,37.48,36.10
4/22/83,37.63,37.63,36.88,37.00,91900.00,9.40,9.40,9.22,9.25,367600.00,37.35,36.54
4/25/83,36.25,37.25,35.25,35.50,166100.00,9.06,9.31,8.81,8.87,664400.00,37.05,36.73
4/26/83,36.63,37.75,35.50,37.75,800.00,9.15,9.43,8.87,9.43,3200.00,37.33,37.13
4/27/83,37.63,38.13,37.00,37.50,91000.00,9.40,9.53,9.25,9.37,364000.00,37.13,37.29
4/28/83,37.38,37.75,37.00,37.25,66700.00,9.34,9.43,9.25,9.31,266800.00,37.00,37.24
4/29/83,37.63,38.00,37.25,38.00,54300.00,9.40,9.50,9.31,9.50,217200.00,37.20,37.28
5/2/83,37.63,38.00,37.13,37.50,135300.00,9.40,9.50,9.28,9.37,541200.00,37.60,37.33
5/3/83,37.50,39.63,37.50,39.38,124000.00,9.37,9.90,9.37,9.84,496000.00,37.93,37.63
5/4/83,40.88,42.00,39.75,41.88,245100.00,10.22,10.50,9.93,10.47,980400.00,38.80,37.96
5/5/83,43.38,44.25,42.50,43.88,341600.00,10.84,11.06,10.62,10.97,1366400.00,40.13,38.56
5/6/83,44.00,46.38,43.75,45.88,193900.00,11.00,11.59,10.93,11.47,775600.00,41.70,39.45
5/9/83,45.00,45.50,44.63,45.25,201200.00,11.25,11.37,11.15,11.31,804800.00,43.25,40.43
5/10/83,45.25,45.75,45.25,45.75,217700.00,11.31,11.43,11.31,11.43,870800.00,44.53,41.23
5/11/83,45.50,45.75,45.00,45.13,92700.00,11.37,11.43,11.25,11.28,370800.00,45.18,41.99
5/12/83,45.00,45.13,43.50,43.88,96300.00,11.25,11.28,10.87,10.97,385200.00,45.18,42.65
5/13/83,43.88,46.38,43.88,46.13,97600.00,10.97,11.59,10.97,11.53,390400.00,45.23,43.47
5/16/83,45.63,45.88,45.00,45.25,147000.00,11.40,11.47,11.25,11.31,588000.00,45.23,44.24
5/17/83,45.50,45.88,45.00,45.25,81100.00,11.37,11.47,11.25,11.31,324400.00,45.13,44.83
5/18/83,45.00,45.88,45.00,45.38,108300.00,11.25,11.47,11.25,11.34,433200.00,45.18,45.18
5/19/83,45.13,45.50,44.50,44.75,98200.00,11.28,11.37,11.12,11.18,392800.00,45.35,45.27
5/20/83,45.50,47.00,45.50,47.00,154300.00,11.37,11.75,11.37,11.75,617200.00,45.53,45.38
5/23/83,47.88,48.00,46.88,47.88,113000.00,11.97,12.00,11.72,11.97,452000.00,46.05,45.64
5/24/83,48.50,50.63,48.25,50.38,241800.00,12.12,12.65,12.06,12.59,967200.00,47.08,46.10
5/25/83,51.88,53.00,51.50,52.38,250300.00,12.97,13.25,12.87,13.09,1001200.00,48.48,46.83
5/26/83,52.38,52.38,49.75,50.00,236100.00,13.09,13.09,12.43,12.50,944400.00,49.53,47.44
5/27/83,50.13,50.38,49.25,49.63,79300.00,12.53,12.59,12.31,12.40,317200.00,50.05,47.79
5/31/83,48.50,48.88,48.38,48.50,130900.00,12.12,12.22,12.09,12.12,523600.00,50.18,48.12
6/1/83,48.63,50.50,48.63,50.50,207700.00,12.15,12.62,12.15,12.62,830800.00,50.20,48.64
6/2/83,50.88,52.50,50.13,52.38,152000.00,12.72,13.12,12.53,13.09,608000.00,50.20,49.34
6/3/83,52.50,54.00,52.38,53.63,134300.00,13.12,13.50,13.09,13.40,537200.00,50.93,50.23
6/6/83,53.50,54.63,53.13,54.50,138000.00,13.37,13.65,13.28,13.62,552000.00,51.90,50.98
6/7/83,54.25,54.50,52.88,52.88,109700.00,13.56,13.62,13.22,13.22,438800.00,52.78,51.48
6/8/83,52.25,53.13,52.13,52.75,113200.00,13.06,13.28,13.03,13.18,452800.00,53.23,51.72
6/9/83,52.75,53.00,51.88,52.38,63200.00,13.18,13.25,12.97,13.09,252800.00,53.23,51.72
6/10/83,52.50,53.00,52.25,52.25,19200.00,13.12,13.25,13.06,13.06,76800.00,52.95,51.94
6/13/83,52.50,52.63,51.00,51.63,52300.00,13.12,13.15,12.75,12.90,209200.00,52.38,52.14
