Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,COGS,Gross Margin,SG&A,R&D,Operating Margin,Net Int Inc & Other,EBT Margin,Net Margin %,Asset Turnover (Average),Return on Assets %,Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover
5/4/18,1985.8,1991.66,1950.5,2.36597E+13,3832465430,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
5/3/18,1960.4,1965.93,1935.18,2.33571E+13,2564018306,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
5/2/18,1965.16,1983.31,1962.59,2.34138E+13,43641230,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
5/1/18,1977.46,1977.74,1956.05,2.35708E+13,137581222,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/30/18,1972.02,1997.87,1972.02,2.35065E+13,814128009,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/27/18,1988.29,1995.16,1980.25,2.37004E+13,1802711347,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/26/18,1987.21,1993.94,1973.64,2.36876E+13,71903455,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/25/18,1967.93,1972.63,1949.41,2.34578E+13,37971696,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/24/18,1965.63,2001.12,1953.22,2.35354E+13,536542022,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/23/18,1990.89,2000.4,1982.1,2.38379E+13,3622894,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
